"","Trial","yrDate","Month","Sh_Height","Site","Adductor","Year","Season","Sh_Height.inches","Adductor.lbs","count.lbs"
"1","Ear Hanging",Feb 2022,2,83.8767151927207,"NA",11.9010020232627,"Y2","Spring",3.30223466480893,0.0262371870805253,38.1138418890284
"2","Lantern Net",Feb 2022,2,80.7367105385409,"NA",10.8082132186183,"Y2","Spring",3.17861236757341,0.0238280030260302,41.9674279421393
"3","Ear Hanging",Feb 2023,2,113.104541832577,"NA",29.1704090159207,"Y3","Spring",4.45293712240274,0.064309667124679,15.5497617187362
"4","Lantern Net",Feb 2023,2,110.413142331034,"NA",26.8589477549079,"Y3","Spring",4.34697645488704,0.0592137733994251,16.8879627591798
"5","Ear Hanging",May 2022,5,90.9318565073305,"NA",17.7074902023564,"Y2","Summer",3.57999628387925,0.039038287049919,25.615878040993
"6","Lantern Net",May 2022,5,88.4194735345982,"NA",16.394125587167,"Y2","Summer",3.48108351500448,0.0361428171519802,27.6680148034673
"7","Ear Hanging",May 2023,5,114.967734561188,"NA",37.0127512453345,"Y3","Summer",4.52629120644744,0.0815990516504893,12.2550443880557
"8","Lantern Net",May 2023,5,113.860046587059,"NA",35.7762885173436,"Y3","Summer",4.48268142013717,0.078873121191106,12.6785904361138
"9","Ear Hanging",Aug 2021,8,57.5407484606163,"NA",6.19618278287736,"Y2","Fall",2.26538502096931,0.0136602284867871,73.2052176848472
"10","Lantern Net",Aug 2021,8,57.1422430833356,"NA",6.12090338536571,"Y2","Fall",2.24969582441523,0.0134942660214449,74.1055496023875
"11","Ear Hanging",Aug 2022,8,100.620367314639,"NA",23.2279079255236,"Y3","Fall",3.96143392321407,0.0512087103707678,19.5279278224285
"12","Lantern Net",Aug 2022,8,97.3905447593483,"NA",21.0370074012081,"Y3","Fall",3.83427548623002,0.0463786072568513,21.5616651544075
"13","Ear Hanging",Aug 2023,8,120.321920402265,"NA",42.5074125817755,"Y4","Fall",4.73708603842923,0.0937126919260338,10.6709131863301
"14","Lantern Net",Aug 2023,8,119.14379113656,"NA",40.998710866793,"Y4","Fall",4.69070297142546,0.0903865779511492,11.0635895579592
"15","Ear Hanging",Nov 2021,11,72.934628829957,"NA",9.7002699375007,"Y2","Winter",2.87144363049829,0.0213854091096128,46.760854322422
"16","Lantern Net",Nov 2021,11,70.3706045093112,"NA",8.96658616697817,"Y2","Winter",2.77049773659203,0.0197679151954434,50.5870239786593
"17","Ear Hanging",Nov 2022,11,108.516367575573,"NA",28.8925955186806,"Y3","Winter",4.27230024308706,0.0636971939323936,15.6992787007442
"18","Lantern Net",Nov 2022,11,105.018863072581,"NA",25.9534138505559,"Y3","Winter",4.13460314105384,0.0572174152432125,17.4771963352299
