"","Task","Year","Type","Completed","Time","Trips","Unit","Task.Rate","Part.Time","Season","Description","Category","Hours.Paid","Labor.Costs"
"1","Set Settlement Devices","Y0","Wild Spat - Collected","Y",20,3,"Devices/Hour",12,0,"Fall","In Fall, set settlement devices for spat collection
~ August-September","Seed Procurement","24",0
"2","Collect Settlement Device","Y0","Wild Spat - Collected","Y",40,5,"Devices/Hour",6,0,"Spring","In Spring/Winter collect settlement devices
with spat in them ~January-April","Seed Procurement","40",0
"3","Process Settlement Device","Y0","Wild Spat - Collected","Y",40,5,"Devices/Hour",6,0,"Spring","Process settlement devices by separating scallop
spat from fouling organisms","Seed Procurement","40",0
"4","Spat Stocking","Y0","Wild Spat - Collected","Y",19.2,3,"Scallops/Hour",12500,1,"Spring","Stock spat into lantern nets, usually a volumetric
stocking of ~250 scallops/tier","Seed Procurement","24",480
"5","Spat Collector Construction","Y0","Wild Spat - Collected","Y",9.6,0,"Devices/Hour",25,0,"Winter","Building of spat collector bags","Seed procurement","9.6",0
"6","Restock","Y1","Intermediate - Lantern Net","Y",84,11,"Devices/Hour",10,1,"Summer","Restock lantern nets to optimize density
density of ~10/tier in Spring/Summer","Restocking","88",1760
"7","Lantern Net Cleaning (Spring)","Y1","Intermediate - Lantern Net","Y",84,11,"Devices/Hour",10,2,"Spring","Spring lantern net cleaning, usually involves emptying
net and putting scallops into clean net.  Then 
cleaning old net","Cleaning","88",3520
"8","Lantern Net Cleaning (Summer)","Y1","Intermediate - Lantern Net","Y",84,11,"Devices/Hour",10,2,"Summer","Summer lantern net cleaning, usually involves emptying
net and putting scallops into clean net.  Then 
cleaning old net","Cleaning","88",3520
"9","Lantern Net Cleaning (Fall)","Y2","Intermediate - Lantern Net","Y",84,11,"Devices/Hour",10,2,"Fall","Fall lantern net cleaning, usually involves emptying
net and putting scallops into clean net.  Then 
cleaning old net","Cleaning","88",3520
"10","Previous Year Net Cleaning (on Land)","Y1","Intermediate - Lantern Net","Y",3.84,0,"Devices/Hour",25,0,"Fall","Cleaning of nets on land from previous year of 
scallops","Cleaning","3.84",0
"11","Restock","Y2","Lantern Net","Y",183.75,23,"Devices/Hour",10,1,"Summer","Restock lantern nets to optimize density
density of ~10/tier in Spring/Summer","Restocking","184",3680
"12","Lantern Net Cleaning (Spring)","Y2","Lantern Net","Y",183.75,23,"Devices/Hour",10,2,"Spring","Spring lantern net cleaning, usually involves emptying
net and putting scallops into clean net.  Then 
cleaning old net","Cleaning","184",7360
"13","Lantern Net Cleaning (Summer)","Y2","Lantern Net","Y",183.75,23,"Devices/Hour",10,2,"Summer","Summer lantern net cleaning, usually involves emptying
net and putting scallops into clean net.  Then 
cleaning old net","Cleaning","184",7360
