"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","Scallop0","Scallop1","Scallop2","Scallop3","Scallop4","Scallop5","Scallop6","Scallop7","Scallop8","Scallop9","Scallop10","Discount.Rate","Sea.Days"
"1",50000,"2-3 Years","November-January","Ear Hanging",351619.78,153658.02,293949.03,171117.16,171117.16,171117.16,171117.16,171117.16,171117.16,171117.16,171117.16,0,0,359724.5,359724.5,359724.5,359724.5,359724.5,359724.5,359724.5,359724.5,359724.5,0.12,36
"2",60000,"2-3 Years","November-January","Ear Hanging",359931.87,156210.96,297797.72,174357.4,174357.4,174357.4,174357.4,174357.4,174357.4,174357.4,174357.4,0,0,431669.4,431669.4,431669.4,431669.4,431669.4,431669.4,431669.4,431669.4,431669.4,0.12,39
"3",70000,"2-3 Years","November-January","Ear Hanging",360513.62,159797.89,304844.48,180806.08,180806.08,180806.08,180806.08,180806.08,180806.08,180806.08,180806.08,0,0,503614.3,503614.3,503614.3,503614.3,503614.3,503614.3,503614.3,503614.3,503614.3,0.12,47
"4",80000,"2-3 Years","November-January","Ear Hanging",361095.37,161620.49,308668.69,184021.84,184021.84,184021.84,184021.84,184021.84,184021.84,184021.84,184021.84,0,0,575559.2,575559.2,575559.2,575559.2,575559.2,575559.2,575559.2,575559.2,575559.2,0.12,50
"5",90000,"2-3 Years","November-January","Ear Hanging",361646.32,163440.3,312313.62,187058.33,187058.33,187058.33,187058.33,187058.33,187058.33,187058.33,187058.33,0,0,647504.1,647504.1,647504.1,647504.1,647504.1,647504.1,647504.1,647504.1,647504.1,0.12,53
"6",100000,"2-3 Years","November-January","Ear Hanging",363110.07,167909.22,319418.99,193565.61,193565.61,193565.61,193565.61,193565.61,193565.61,193565.61,193565.61,0,0,719449,719449,719449,719449,719449,719449,719449,719449,719449,0.12,63
"7",110000,"2-3 Years","November-January","Ear Hanging",371892.62,170932.63,325561.39,199099.57,199099.57,199099.57,199099.57,199099.57,199099.57,199099.57,199099.57,0,0,791393.9,791393.9,791393.9,791393.9,791393.9,791393.9,791393.9,791393.9,791393.9,0.12,69
"8",120000,"2-3 Years","November-January","Ear Hanging",372474.37,174519.55,330796.99,203726.71,203726.71,203726.71,203726.71,203726.71,203726.71,203726.71,203726.71,0,0,863338.8,863338.8,863338.8,863338.8,863338.8,863338.8,863338.8,863338.8,863338.8,0.12,75
"9",130000,"2-3 Years","November-January","Ear Hanging",373025.32,176339.36,335429.7,207761.34,207761.34,207761.34,207761.34,207761.34,207761.34,207761.34,207761.34,0,0,935283.7,935283.7,935283.7,935283.7,935283.7,935283.7,935283.7,935283.7,935283.7,0.12,79
"10",140000,"2-3 Years","November-January","Ear Hanging",373607.07,179926.28,340665.29,212388.49,212388.49,212388.49,212388.49,212388.49,212388.49,212388.49,212388.49,0,0,1007228.6,1007228.6,1007228.6,1007228.6,1007228.6,1007228.6,1007228.6,1007228.6,1007228.6,0.12,85
"11",150000,"2-3 Years","November-January","Ear Hanging",374776.81,182336.88,345900.89,217015.64,217015.64,217015.64,217015.64,217015.64,217015.64,217015.64,217015.64,0,0,1079173.5,1079173.5,1079173.5,1079173.5,1079173.5,1079173.5,1079173.5,1079173.5,1079173.5,0.12,91
"12",160000,"2-3 Years","November-January","Ear Hanging",375358.56,184159.49,350007.01,220523.68,220523.68,220523.68,220523.68,220523.68,220523.68,220523.68,220523.68,0,0,1151118.4,1151118.4,1151118.4,1151118.4,1151118.4,1151118.4,1151118.4,1151118.4,1151118.4,0.12,95
"13",170000,"2-3 Years","November-January","Ear Hanging",383670.65,188476.75,356796.34,226704.56,226704.56,226704.56,226704.56,226704.56,226704.56,226704.56,226704.56,0,0,1223063.3,1223063.3,1223063.3,1223063.3,1223063.3,1223063.3,1223063.3,1223063.3,1223063.3,0.12,102
"14",180000,"2-3 Years","November-January","Ear Hanging",384221.6,190296.56,360617.74,229917.51,229917.51,229917.51,229917.51,229917.51,229917.51,229917.51,229917.51,0,0,1295008.2,1295008.2,1295008.2,1295008.2,1295008.2,1295008.2,1295008.2,1295008.2,1295008.2,0.12,105
"15",190000,"2-3 Years","November-January","Ear Hanging",384803.35,193883.48,366853.19,235544.52,235544.52,235544.52,235544.52,235544.52,235544.52,235544.52,235544.52,0,0,1366953.1,1366953.1,1366953.1,1366953.1,1366953.1,1366953.1,1366953.1,1366953.1,1366953.1,0.12,112
"16",200000,"2-3 Years","November-January","Ear Hanging",386267.1,196588.08,371370.85,239464.09,239464.09,239464.09,239464.09,239464.09,239464.09,239464.09,239464.09,0,0,1438898,1438898,1438898,1438898,1438898,1438898,1438898,1438898,1438898,0.12,118
"17",210000,"2-3 Years","November-January","Ear Hanging",387319.31,200645.47,378370.76,245855.56,245855.56,245855.56,245855.56,245855.56,245855.56,245855.56,245855.56,0,0,1510842.9,1510842.9,1510842.9,1510842.9,1510842.9,1510842.9,1510842.9,1510842.9,1510842.9,0.12,127
"18",220000,"2-3 Years","November-January","Ear Hanging",395600.6,203195.62,383745.9,250622.25,250622.25,250622.25,250622.25,250622.25,250622.25,250622.25,250622.25,0,0,1582787.8,1582787.8,1582787.8,1582787.8,1582787.8,1582787.8,1582787.8,1582787.8,1582787.8,0.12,131
"19",230000,"2-3 Years","November-January","Ear Hanging",396182.35,206782.54,388969.41,255247.68,255247.68,255247.68,255247.68,255247.68,255247.68,255247.68,255247.68,0,0,1654732.7,1654732.7,1654732.7,1654732.7,1654732.7,1654732.7,1654732.7,1654732.7,1654732.7,0.12,137
"20",240000,"2-3 Years","November-January","Ear Hanging",396764.1,208605.15,393617.01,259286.82,259286.82,259286.82,259286.82,259286.82,259286.82,259286.82,259286.82,0,0,1726677.6,1726677.6,1726677.6,1726677.6,1726677.6,1726677.6,1726677.6,1726677.6,1726677.6,0.12,141
"21",250000,"2-3 Years","November-January","Ear Hanging",397933.85,211015.75,397029.35,262090.72,262090.72,262090.72,262090.72,262090.72,262090.72,262090.72,262090.72,0,0,1798622.5,1798622.5,1798622.5,1798622.5,1798622.5,1798622.5,1798622.5,1798622.5,1798622.5,0.12,145
"22",260000,"2-3 Years","November-January","Ear Hanging",398484.79,214599.87,404367.31,268830.6,268830.6,268830.6,268830.6,268830.6,268830.6,268830.6,268830.6,0,0,1870567.4,1870567.4,1870567.4,1870567.4,1870567.4,1870567.4,1870567.4,1870567.4,1870567.4,0.12,154
"23",270000,"2-3 Years","November-January","Ear Hanging",399066.54,216422.48,408191.52,272046.36,272046.36,272046.36,272046.36,272046.36,272046.36,272046.36,272046.36,0,0,1942512.3,1942512.3,1942512.3,1942512.3,1942512.3,1942512.3,1942512.3,1942512.3,1942512.3,0.12,157
"24",280000,"2-3 Years","November-January","Ear Hanging",407378.63,220739.74,414980.84,278227.24,278227.24,278227.24,278227.24,278227.24,278227.24,278227.24,278227.24,0,0,2014457.2,2014457.2,2014457.2,2014457.2,2014457.2,2014457.2,2014457.2,2014457.2,2014457.2,0.12,164
"25",290000,"2-3 Years","November-January","Ear Hanging",408842.38,223444.35,419674.96,282323.27,282323.27,282323.27,282323.27,282323.27,282323.27,282323.27,282323.27,0,0,2086402.1,2086402.1,2086402.1,2086402.1,2086402.1,2086402.1,2086402.1,2086402.1,2086402.1,0.12,170
"26",300000,"2-3 Years","November-January","Ear Hanging",409424.13,227031.27,426733.81,288773.67,288773.67,288773.67,288773.67,288773.67,288773.67,288773.67,288773.67,0,0,2158347,2158347,2158347,2158347,2158347,2158347,2158347,2158347,2158347,0.12,178
"27",310000,"2-3 Years","November-January","Ear Hanging",410445.54,229321.54,430319.82,291751.23,291751.23,291751.23,291751.23,291751.23,291751.23,291751.23,291751.23,0,0,2230291.9,2230291.9,2230291.9,2230291.9,2230291.9,2230291.9,2230291.9,2230291.9,2230291.9,0.12,182
