"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Year","Date","Equipment","Fuel","Maintenance","Consumables","Cost of Goods Sold","Year.1","Cost of Production","Debt","Individual Scallops","ShellHeight (mm)","ShellHeight (Inches)","Adductor (g)","Adductor (lb)","Adductor Count per lb","Run Rate (Whole Scallop)","Break Even Price (Whole Scallop)","Run Rate (Adductor)","Break Even Price (Adductor)","Year.2","Insurance","Aquaculture License","Owner Salary","Full Time Employee","Depreciation","Fixed Overhead Costs","Sea.Days","Totalequipment","TotalLabor","TotalFuel","TotalMaint","TotalFOC","Longlines"
"11",50000,"2-3 Years","November-January","Ear Hanging",2.63674573673993,10,Aug 2035,0,4824,6560,600,24971.728,10,171117.16,2168164.13,37085,72.93,2.87,9.7,0.02,46.76,4.61,6.5,215.76,303.76,10,6000,1200,66174,49630.5,22877.2591666667,146145.433740341,36,339765.162916667,125289.44,46230,62400,1601079.52531041,1
"111",60000,"2-3 Years","November-January","Ear Hanging",5.27349147347986,10,Aug 2035,0,5226,7040,600,26912.512,10,174357.4,2208799.77,44502,72.93,2.87,9.7,0.02,46.76,3.92,5.51,183.21,257.88,10,6000,1200,66174,49630.5,23913.041,147444.890147348,39,349168.468833333,134818.496,49848,66720,1614844.80995416,2
"112",70000,"2-3 Years","November-January","Ear Hanging",5.27349147347986,10,Aug 2035,0,6298,8320,600,32793.792,10,180806.08,2271604.64,51919,72.93,2.87,9.7,0.02,46.76,3.48,4.86,162.84,227.32,10,6000,1200,66174,49630.5,24480.4395,148012.288647348,47,351561.408083333,167464.336,59898,78720,1620560.89095416,2
"113",80000,"2-3 Years","November-January","Ear Hanging",5.27349147347986,10,Aug 2035,0,6700,8800,600,35440.432,10,184021.84,2303559.23,59336,72.93,2.87,9.7,0.02,46.76,3.1,4.31,145.02,201.71,10,6000,1200,66174,49630.5,25049.5546666667,148581.403814015,50,353964.714,183346.096,63516,83040,1626292.42195416,2
"114",90000,"2-3 Years","November-January","Ear Hanging",5.27349147347986,10,Aug 2035,0,7102,9280,600,37910.608,10,187058.33,2333866.85,66753,72.93,2.87,9.7,0.02,46.76,2.8,3.88,131.04,181.65,10,6000,1200,66174,49630.5,25615.8698333333,149147.718980681,53,356340.019916667,197639.68,67134,87360,1631993.15295416,2
"115",100000,"2-3 Years","November-January","Ear Hanging",5.27349147347986,10,Aug 2035,0,8442,10880,600,43850.496,10,193565.61,2398963.19,74170,72.93,2.87,9.7,0.02,46.76,2.61,3.59,122.03,168.05,10,6000,1200,66174,49630.5,26183.2683333333,149715.117480681,63,358732.959166667,225520.992,80400,103200,1637709.23395416,2
"116",110000,"2-3 Years","November-January","Ear Hanging",7.91023721021979,10,Aug 2035,0,9246,11840,600,48084.992,10,199099.57,2461183.17,81587,72.93,2.87,9.7,0.02,46.76,2.44,3.35,114.11,156.73,10,6000,1200,66174,49630.5,27219.0501666667,151014.573887689,69,368136.265083333,248108.384,87904,112160,1651474.51859791,3
"117",120000,"2-3 Years","November-January","Ear Hanging",7.91023721021979,10,Aug 2035,0,10050,12800,600,52143.024,10,203726.71,2507604.61,89004,72.93,2.87,9.7,0.02,46.76,2.29,3.13,107.03,146.38,10,6000,1200,66174,49630.5,27788.1653333333,151583.689054355,75,370539.571,269636.992,95542,121280,1657206.04959791,3
"118",130000,"2-3 Years","November-January","Ear Hanging",7.91023721021979,10,Aug 2035,0,10586,13440,600,55613.056,10,207761.34,2546885.12,96421,72.93,2.87,9.7,0.02,46.76,2.15,2.93,100.76,137.24,10,6000,1200,66174,49630.5,28352.7638333333,152148.287554355,79,372904.51025,290283.28,100366,127040,1662891.33059791,3
"119",140000,"2-3 Years","November-January","Ear Hanging",7.91023721021979,10,Aug 2035,0,11390,14400,600,59671.088,10,212388.49,2593306.57,103838,72.93,2.87,9.7,0.02,46.76,2.05,2.77,95.64,129.76,10,6000,1200,66174,49630.5,28921.879,152717.402721022,85,375307.816166667,311811.888,108004,136160,1668622.86159791,3
